;Norway;Sweden;Denmark;Finland;Europe
2021-02-03;102.69654139256171;106.55637581744668;100.9998839725083;105.07986001330093;101.60753693028283
2021-02-04;103.2514817950889;107.01915999018529;100.23410252735177;105.64634824416997;102.51869032606739
2021-02-05;103.13945157298248;106.11295432966705;100.66954687851921;104.29488786890965;102.90291163754279
2021-02-08;103.66312772747997;106.81566510556131;100.16721609096555;105.10231893854322;103.17707395063952
2021-02-09;102.98313033283398;106.6382004971356;99.57069828074557;104.17299913871113;103.05378535399028
2021-02-10;102.68090926854687;106.57819217598173;98.08691141642267;104.42767899000252;102.69461583498469
2021-02-11;103.0808311079268;107.21838761641615;100.79649460472163;105.1317553939579;103.3507476130427
2021-02-12;102.83723050869537;108.00020269477366;102.44476750138209;106.04515770308431;104.0243312015853
2021-02-15;103.16680779000848;108.77695040378933;103.32930649685701;106.69777482201847;105.11056566384435
2021-02-16;103.65661434247379;108.7123547798628;103.1743756697175;107.30089508629241;104.89101062871555
2021-02-17;103.1746238520159;107.60206748669148;103.020809871892;106.2948224545643;104.1436790668348
2021-02-18;101.4264313163551;107.52499013196496;101.6639707337715;105.64743848325938;103.61421365519726
2021-02-19;102.86719207972384;108.65362663622689;101.30155545090331;105.81446311176043;104.52677445505314
2021-02-22;103.6501009574676;108.33699606345414;99.3673089129589;105.39777373177938;104.1436790668348
2021-02-23;103.79469810460496;107.5793976764778;97.50131384071473;104.83346597908923;103.84108719149702
2021-02-24;104.58281769035368;108.66861538133287;97.26448125473495;105.50439911472587;104.31650828679517
2021-02-25;105.91806161662217;108.75790776320984;98.21181159865408;106.47471190432063;103.73356152044677
2021-02-26;103.94450595974729;107.2097997588999;97.01672843424312;104.42898727690985;102.35880922356333
2021-03-01;106.15775418484986;109.597384170605;98.70799975429472;105.76932721345791;104.33424157809404
2021-03-02;106.75828828242038;110.26062280636248;98.10943440010374;106.41758337603437;104.36520446766349
2021-03-03;106.41047352308995;110.61683220073182;95.74793368687592;106.19277607579343;104.50763375968295
2021-03-04;106.10955513580409;110.15671506448895;94.60881672433915;104.43291213763179;104.28441947396865
2021-03-05;107.2897804989253;109.27200571812624;93.18713869380345;103.90261984453191;103.2905107187894
2021-03-08;107.9176708135218;112.18099576474603;94.46002852911266;106.2721454815041;105.92798594847775
2021-03-09;108.76571354132743;113.3408899367379;97.14367616044554;106.86545359397317;106.57004368582238
2021-03-10;109.30632449684101;113.8538677363261;98.24457230219018;107.05297471735551;107.52341920374708
2021-03-11;109.437894873966;115.51788514674034;99.06836749319191;108.18159022273585;108.2473878580436
2021-03-12;109.29069237282616;115.69401623691819;97.92583795737013;107.86607503025414;107.90172941812287
2021-03-15;109.56946525109099;115.31348346970779;98.83767753912515;108.03855085420234;107.80264817150064
2021-03-16;109.31544323584967;116.29031225663292;100.07644164158425;108.0614458750804;108.39713565123401
2021-03-17;108.75659480231877;115.90172503920546;98.08281632848065;107.07543364259784;108.36279499189335
2021-03-18;108.82303132938188;116.28204444349615;98.28620569626732;106.89140128430165;108.86383084128987
2021-03-19;108.32801406891161;115.70580453822929;98.30395107734938;106.89118323648376;108.00475139614484
2021-03-22;108.52341561909725;115.99635149407385;98.99192585160766;107.08328336404175;107.91524049720772
2021-03-23;107.25330554289064;115.64915668306006;98.10124422421971;106.79197147934543;107.72327058187714
2021-03-24;107.43958835406761;116.52810523059199;96.65294812206092;107.38135473109254;107.87892947216719
2021-03-25;106.16817560085977;115.92236790168236;96.90547854515175;107.7542164996784;107.87949243379572
